Name Of State/Ut,Polling Stations,Electors - General (Including NRIs),Electors - Service,Electors - Total,Voters - Evm,Voters - Postal,Voters - Total,Voters - Vtr %
Andhra Pradesh,46389,41333702,68185,41401887,33348275,510682,33858957,81.78
Arunachal Pradesh,2226,892694,5748,898442,691003,37390,728393,81.07
Assam,28650,24506236,65878,24572114,19991860,126306,20118166,81.87
Bihar,77462,77089931,169648,77259579,43318981,161878,43480859,56.28
Goa,1725,1179344,300,1179644,896978,11200,908178,76.99
Gujarat,49140,47982446,27499,48009945,28854536,307451,29161987,60.74
Haryana,20031,20076768,111143,20187911,13009768,65862,13075630,64.77
Himachal Pradesh,7992,5645579,66390,5711969,4000418,80658,4081076,71.45
Karnataka,58871,54725675,46657,54772332,38657140,178237,38835377,70.9
Kerala,25231,27749159,57849,27807008,19777189,256069,20033258,72.04
Madhya Pradesh,64879,56593506,75346,56668852,37847559,124809,37972368,67.01
Maharashtra,98140,92943890,117870,93061760,57009173,239229,57248402,61.52
Manipur,3049,2029601,21756,2051357,1588385,17384,1605769,78.28
Meghalaya,3512,2226567,3884,2230451,1705703,9324,1715027,76.89
Mizoram,1280,856364,4963,861327,487188,4640,491828,57.1
Nagaland,2342,1317536,7847,1325383,760538,6035,766573,57.84
Odisha,38038,33666719,50246,33716965,25063626,150733,25214359,74.78
Punjab,24451,21461741,105455,21567196,13478550,64299,13542849,62.79
Rajasthan,53128,53367103,140907,53508010,32836062,375876,33211938,62.07
Sikkim,573,464140,2503,466643,369876,18631,388507,83.26
Tamil Nadu,68321,62333925,71022,62404947,43458597,310509,43769106,70.14
Tripura,3350,2860287,10609,2870896,2314911,33916,2348827,81.82
Uttar Pradesh,162069,154103670,299442,154403112,87722429,275114,87997543,56.99
West Bengal,80530,76010006,114774,76124780,60261961,292574,60554535,79.55
Chhattisgarh,24229,20658430,20237,20678667,15039931,43376,15083307,72.94
Jharkhand,29521,25833046,44846,25877892,17097589,181603,17279192,66.77
Uttarakhand,11723,8337914,93187,8431101,4771649,92532,4864181,57.69
Telangana,35809,33216348,15970,33232318,21813723,218109,22031832,66.3
Andaman & Nicobar Islands,412,315148,597,315745,201992,605,202597,64.16
Chandigarh,614,659805,747,660552,448548,835,449383,68.03
Dadra & Nagar Haveli and Daman & Diu,459,417213,23,417236,297536,537,298073,71.44
NCT OF Delhi,13641,15201936,12702,15214638,8916766,26819,8943585,58.78
Lakshadweep,55,57784,169,57953,48630,617,49247,84.98
Puducherry,967,1023699,325,1024024,807724,3708,811432,79.24
Jammu and Kashmir,11629,8726281,76067,8802348,5111867,50999,5162866,58.65
Ladakh,578,184808,5768,190576,132614,3048,135662,71.19
Total,1051016,976049001,1916559,977965560,642139275,4281594,646420869,66.1
